iter	Passed	Remaining
832	4438	889
833	4443	884
834	4449	879
835	4453	873
836	4458	868
837	4463	862
838	4469	857
839	4474	852
840	4480	847
841	4487	842
842	4492	836
843	4497	831
844	4502	825
845	4508	820
846	4513	815
847	4519	810
848	4524	804
849	4529	799
850	4534	794
851	4540	788
852	4545	783
853	4550	777
854	4556	772
855	4561	767
856	4565	761
857	4570	756
858	4576	751
859	4581	745
860	4588	740
861	4593	735
862	4598	729
863	4603	724
864	4608	719
865	4614	713
866	4619	708
867	4624	703
868	4629	697
869	4634	692
870	4639	687
871	4645	681
872	4650	676
873	4656	671
874	4662	666
875	4667	660
876	4672	655
877	4676	649
878	4681	644
879	4687	639
880	4692	633
881	4697	628
882	4703	623
883	4708	617
884	4712	612
885	4718	607
886	4723	601
887	4728	596
888	4733	591
889	4739	585
890	4744	580
891	4749	575
892	4754	569
893	4760	564
894	4765	559
895	4770	553
896	4775	548
897	4784	543
898	4789	538
899	4795	532
900	4800	527
901	4806	522
902	4811	516
903	4816	511
904	4822	506
905	4827	500
906	4832	495
907	4837	490
908	4843	484
909	4848	479
910	4853	474
911	4859	468
912	4864	463
913	4870	458
914	4876	453
915	4881	447
916	4885	442
917	4890	436
918	4896	431
919	4901	426
920	4906	420
921	4912	415
922	4917	410
923	4922	404
924	4928	399
925	4933	394
926	4938	388
927	4945	383
928	4950	378
929	4955	372
930	4961	367
931	4967	362
932	4972	357
933	4978	351
934	4983	346
935	4988	341
936	4993	335
937	4998	330
938	5003	325
939	5009	319
940	5014	314
941	5019	309
942	5024	303
943	5029	298
944	5034	293
945	5039	287
946	5044	282
947	5049	276
948	5055	271
949	5060	266
950	5066	261
951	5072	255
952	5077	250
953	5083	245
954	5088	239
955	5092	234
956	5097	229
957	5103	223
958	5107	218
959	5112	213
960	5118	207
961	5123	202
962	5129	197
963	5134	191
964	5139	186
965	5145	181
966	5151	175
967	5156	170
968	5161	165
969	5166	159
970	5171	154
971	5176	149
972	5181	143
973	5187	138
974	5191	133
975	5195	127
976	5201	122
977	5205	117
978	5209	111
979	5213	106
980	5218	101
981	5222	95
982	5228	90
983	5233	85
984	5238	79
985	5242	74
986	5247	69
987	5252	63
988	5257	58
989	5262	53
990	5266	47
991	5271	42
992	5275	37
993	5280	31
994	5284	26
995	5289	21
996	5293	15
997	5297	10
998	5302	5
999	5306	0
